Essay	Attribution	Description	Label	License	Manifest	Title	URL	
wateringbury-overview	David Anstiss via Wikimedia Commons		Waterbingbury Village Sign	CC BY-SA 2.0			https://upload.wikimedia.org/wikipedia/commons/e/eb/Wateringbury_Village_Sign_-_geograph.org.uk_-_2490156.jpg	
wateringbury-overview							https://stor.artstor.org/stor/70056d92-7406-48ec-a8e5-060c6bcf584d	
wateringbury-overview							https://stor.artstor.org/stor/70056d92-7406-48ec-a8e5-060c6bcf584d	
wateringbury-overview							https://stor.artstor.org/stor/70056d92-7406-48ec-a8e5-060c6bcf584d	
wateringbury-overview							https://stor.artstor.org/stor/70056d92-7406-48ec-a8e5-060c6bcf584d	
wateringbury-overview							https://stor.artstor.org/stor/70056d92-7406-48ec-a8e5-060c6bcf584d	
wateringbury-overview							https://stor.artstor.org/stor/70056d92-7406-48ec-a8e5-060c6bcf584d	
wateringbury-overview	Robin Webster, via Wikimedia Commons		Wateringbury Place	CC BY-SA 2.0			https://upload.wikimedia.org/wikipedia/commons/a/a0/Wateringbury_Place-geograph.org-2985200.jpg	
wateringbury-overview	British Museum, Public domain, via Wikimedia Commons		The Lord Mayor's Dinner held by William Thompson in honour of his predecessor Matthias Prime Lucas				https://upload.wikimedia.org/wikipedia/commons/e/ec/The_Lord_Mayors_dinner_%28BM_Ii%2C3.92%29.jpg	
wateringbury-overview	The Observatory, volume 36, between pages 419 and 420, W. F. Denning, Public domain, via Wikimedia Commons		William Rutter Dawes, 1913				https://upload.wikimedia.org/wikipedia/commons/c/c1/Dawes_William_Rutter.jpg	
wateringbury-overview							https://stor.artstor.org/stor/70056d92-7406-48ec-a8e5-060c6bcf584d	
wateringbury-overview	Fisher, Public domain, via Wikimedia Commons		Lena Login from a miniature by Fisher, 1850				https://upload.wikimedia.org/wikipedia/commons/6/60/Lena_Login_from_a_miniature_by_Fisher%2C_1850.jpg	
wateringbury-overview	John Singer Sargent, Public domain, via Wikimedia Commons		Ellen as Lady Macbeth by John Singer Sargent				https://upload.wikimedia.org/wikipedia/commons/5/5d/Ellen_Terry_as_Lady_Macbeth.jpg	
wateringbury-overview	Bain News Service, publisher, Public domain, via Wikimedia Commons		Ellen Terry in 1915				https://upload.wikimedia.org/wikipedia/commons/4/4c/Ellen_Terry_LCCN2014698965.jpg	
wateringbury-overview	International Photo, Public domain, via Wikimedia Commons		Ellen Terry at Walmer Castle, 1922				https://upload.wikimedia.org/wikipedia/commons/3/3f/Ellen_Terry_1922.jpg	
